USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.0 157432  7140 ?        Ss   08:46   0:01 /sbin/init
root          98  0.0  0.0      0     0 ?        S    08:46   0:00 [hwrng]
root          99  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18c80000.]
root         100  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18c80000.]
root         101  0.0  0.0      0     0 ?        I    08:46   0:00 [kworker/u16:1-flush-8:0]
root         102  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18c90000.]
root         103  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18c90000.]
root         104  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18ca0000.]
root         105  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18ca0000.]
root         106  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18cb0000.]
root         107  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18cb0000.]
root         108  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1aa80000.]
root         109  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1aa80000.]
root         110  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1aa90000.]
root         111  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1aa90000.]
root         112  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1aaa0000.]
root         113  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1aaa0000.]
root         114  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1aab0000.]
root         115  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1aab0000.]
root         116  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1ac80000.]
root         117  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1ac80000.]
root         118  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1ac90000.]
root         119  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1ac90000.]
root         120  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1aca0000.]
root         121  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1aca0000.]
root         122  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1acb0000.]
root         123  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1acb0000.]
root         124  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-19e00000.]
root         125  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-19e00000.]
root         126  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-19a60000.]
root         127  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-19a60000.]
root         128  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-19a90000.]
root         129  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-19a90000.]
root         130  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-19b90000.]
root         131  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-19b90000.]
root         132  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-19880000.]
root         133  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-19880000.]
root         134  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-198b0000.]
root         135  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-198b0000.]
root         136  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18050000.]
root         137  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18050000.]
root         138  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18250000.]
root         139  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-18250000.]
root         140  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1a9d0000.]
root         141  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1a9d0000.]
root         142  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1a8d0000.]
root         143  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1a8d0000.]
root         144  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1a080000.]
root         145  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1a080000.]
root         146  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1a280000.]
root         147  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/6-1a280000.]
root         148  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d800000.]
root         149  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d800000.]
root         150  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d830000.]
root         151  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d830000.]
root         152  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d890000.]
root         153  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d890000.]
root         154  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d900000.]
root         155  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d900000.]
root         156  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d860000.]
root         157  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d860000.]
root         158  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d8c0000.]
root         159  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d8c0000.]
root         160  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d930000.]
root         161  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/7-1d930000.]
root         162  0.0  0.0      0     0 ?        I    08:46   0:00 [kworker/u16:2-flush-8:0]
root         164  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/72-DPUM_DEC]
root         165  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/77-DPUM_DEC]
root         166  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/88-DPUS0_DE]
root         167  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/93-DPUS0_DE]
root         168  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/103-DPUS1_D]
root         169  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/108-DPUS1_D]
root         170  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/82-18e40000]
root         171  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/83-18e50000]
root         172  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/249-18a8000]
root         173  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/98-18a80000]
root         174  0.0  0.0      0     0 ?        I<   08:46   0:00 [18a80000.dp_tx]
